# PropHunt becomable-prop curation. key=1 keep, key=0 skip. Edit in-game with the phcurate console command.
# key = meshName|vertexCount|wFxhFxdF (content signature; LOD props use the lex-min key across LODs).
+X Shadow|99|0.1x29.7x18.1=0
+Y Shadow|38|19.7x0.1x10.4=0
-X Shadow|126|0.4x29.7x8.2=0
-Y Shadow|54|19.3x0.1x10.4=0
Block|101|2.1x5.1x4.1=0
FenceBase|60|5.0x0.5x0.8=0
Pole|170|0.6x0.6x4.2=0
Pole.001|172|0.6x0.6x4.2=0
FenceBase.001|60|5.0x0.5x0.8=0
Pole.002|172|0.6x0.6x4.2=0
Pole.003|172|0.6x0.6x4.2=0
FenceBase.002|60|5.0x0.5x0.8=0
CornerPole|172|0.6x0.6x4.2=0
Pole.004|172|0.6x0.6x4.2=0
FenceBase.003|60|5.0x0.5x0.8=0
FenceBase.004|60|5.0x0.5x0.8=0
Pole.007|172|0.6x0.6x4.2=0
Pole.008|172|0.6x0.6x4.2=0
FenceBase.005|60|5.0x0.5x0.8=0
Pole.009|172|0.6x0.6x4.2=0
FenceBase.006|60|5.0x0.5x0.8=0
Pole.005|172|0.6x0.6x4.2=0
FenceBase.007|60|5.0x0.5x0.8=0
Pole.006|172|0.6x0.6x4.2=0
FenceBase.008|60|5.0x0.5x0.8=0
Pole.010|172|0.6x0.6x4.2=0
FenceBase.009|60|5.0x0.5x0.8=0
Pole.011|172|0.6x0.6x4.2=0
FenceBase.010|60|5.0x0.5x0.8=0
Pole.012|172|0.6x0.6x4.2=0
FenceBase.011|60|5.0x0.5x0.8=0
Pole.013|172|0.6x0.6x4.2=0
FenceBase.012|60|5.0x0.5x0.8=0
Pole.014|172|0.6x0.6x4.2=0
FenceBase.013|60|5.0x0.5x0.8=0
Pole.015|172|0.6x0.6x4.2=0
FenceBase.014|60|5.0x0.5x0.8=0
GarageFrame.001|36|0.1x4.0x3.0=0
GarageDoor.001|4|0.0x3.8x2.9=0
OtherWindow|78|2.1x0.0x2.1=0
Glass.001|16|1.9x0.0x1.9=0
WindowTrim.001|40|2.1x0.1x0.2=0
OtherWindow.001|78|2.1x0.0x2.1=0
Glass.002|16|1.9x0.0x1.9=0
WindowTrim.002|40|2.1x0.1x0.2=0
OtherWindow.002|78|2.1x0.0x2.1=0
Glass.003|16|1.9x0.0x1.9=0
WindowTrim.003|40|2.1x0.1x0.2=0
OtherWindow.003|78|2.1x0.0x2.1=0
Glass.004|16|1.9x0.0x1.9=0
WindowTrim.004|40|2.1x0.1x0.2=0
OtherWindow.004|78|2.1x0.0x2.1=0
Glass.005|16|1.9x0.0x1.9=0
WindowTrim.005|40|2.1x0.1x0.2=0
OtherWindow.005|78|2.1x0.0x2.1=0
Glass.006|16|1.9x0.0x1.9=0
WindowTrim.006|40|2.1x0.1x0.2=0
