# PropHunt safehouse spawn points. Format: code|x|y|z|yaw
# Authored with the phspawn in-game editor. Copy to Assets/spawns.txt to bake in.
rv|16.858|2.066|-83.900|96.5
rv|10.196|2.040|-83.919|270.6
rv|15.236|2.040|-84.179|180.6
laundromat|-30.186|1.565|26.695|180.6
laundromat|-30.198|1.565|25.457|180.6
laundromat|-30.214|1.565|23.891|180.6
laundromat|-28.415|1.565|27.001|155.8
laundromat|-28.611|1.565|24.982|90.0
laundromat|-24.818|1.565|25.052|270.0
carwash|-4.729|1.215|-21.341|339.2
carwash|-5.294|1.215|-19.722|54.7
carwash|-3.871|1.215|-19.999|239.9
carwash|-5.816|1.215|-17.209|176.5
carwash|-6.387|1.215|-18.504|18.6
postoffice|44.520|1.115|2.663|126.5
postoffice|44.433|1.115|1.710|78.0
postoffice|46.403|1.115|1.654|179.1
postoffice|50.728|1.115|2.732|221.3
postoffice|50.192|1.115|1.846|0.9
postoffice|46.814|1.115|-1.117|0.7
postoffice|50.489|1.115|-1.311|273.2
postoffice|43.922|1.115|-0.462|110.1
postoffice|44.123|1.115|-2.105|68.1
tacoticklers|-28.095|1.065|74.902|181.3
tacoticklers|-29.291|1.065|74.929|181.3
tacoticklers|-30.374|1.065|74.953|181.3
tacoticklers|-31.436|1.065|74.977|181.3
tacoticklers|-32.572|1.065|75.002|181.3
tacoticklers|-31.521|1.065|79.133|310.8
tacoticklers|-31.505|1.065|80.856|270.1
tacoticklers|-31.513|1.065|82.415|259.6
tacoticklers|-33.252|1.065|82.978|177.2
tacoticklers|-34.848|1.065|82.376|150.3
tacoticklers|-34.595|1.065|80.499|88.8
tacoticklers|-34.561|1.065|78.980|88.3
tacoticklers|-33.036|1.065|80.305|208.8
tacoticklers|-34.529|1.065|77.334|178.8
tacoticklers|-34.370|1.065|72.750|102.1
tacoticklers|-28.144|1.065|70.688|88.8
tacoticklers|-28.156|1.065|65.859|89.2
tacoticklers|-26.842|1.065|68.277|269.1
tacoticklers|-32.751|1.065|65.837|270.5
tacoticklers|-33.853|1.065|71.244|268.2
tacoticklers|-32.071|1.065|68.882|89.2
motelroom|-72.408|1.680|84.196|359.7
motelroom|-69.886|1.680|85.723|92.0
motelroom|-72.838|1.680|82.894|213.0
motelroom|-69.962|1.680|82.906|178.7
motelroom|-71.183|1.680|83.748|85.4
motelroom|-68.474|1.680|82.333|350.4
